#,Database,gbifID,PBDB collection #,occurrenceID,genus,specificEpithet,verbatimScientificName,Notes,preparations,occurrenceRemarks,institutionCode,collectionCode,catalogNumber,locationID,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,continent,countryCode,stateProvince,county,locality,verbatimLocality,formation,Max age (years),Min age (years),Average age (years),Method,Citation for age,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,Citation
652,Neotoma,5914,4721,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.9,-114.05,N/A,N/A,NORTH_AMERICA,US,Nevada,White Pine,Owl Cave 2,N/A,N/A,35000,10000,22500,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
653,Neotoma,5936,4743,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.25,-110.616667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Black Mesa,N/A,N/A,1450,1250,1350,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
654,Neotoma,5947,4754,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.25,-104.616667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Bloom Mound,N/A,N/A,700,500,600,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
655,Neotoma,5948,4755,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.866667,-105.25,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Penasco,N/A,N/A,850,500,675,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
656,Neotoma,5949,4756,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.366667,-105.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Bonnell,N/A,N/A,850,500,675,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
657,Neotoma,5950,4757,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.116667,-105.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Hiner,N/A,N/A,700,500,600,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
658,Neotoma,5951,4758,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.616667,-105.616667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Phillips,N/A,N/A,850,650,750,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
659,Neotoma,5952,4759,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.616667,-105.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Block Lookout,N/A,N/A,700,500,600,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
660,Neotoma,5958,4765,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.5,-105.866667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Arroyo Hondo Pueblo,N/A,N/A,650,525,587.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
661,Neotoma,5962,4769,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.961667,-118.556944,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Lovelock Cave [26CH18],N/A,N/A,4500,150,2325,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
662,Neotoma,5963,4770,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.116667,-108.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Armijo Springs Site LA 5939,N/A,N/A,2300,600,1450,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
663,Neotoma,5964,4771,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.75,-108.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Apache Creek Site LA 8887,N/A,N/A,2300,600,1450,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
666,Neotoma,5967,4774,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.25,-108.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Castle Rock [LA 5407],N/A,N/A,2300,600,1450,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
667,Neotoma,5968,4775,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.866667,-108.616667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Whiskey Creek Site LA 4986,N/A,N/A,2300,600,1450,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
671,Neotoma,5972,4779,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.866667,-108.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Tularosa Cave,N/A,N/A,2300,650,1475,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
672,Neotoma,5973,4780,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.75,-116.25,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,James Creek Shelter [26EU843],N/A,N/A,1250,350,800,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
673,Neotoma,5974,4781,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.183889,-111.9175,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Snaketown [U:13:1],N/A,N/A,1600,1250,1425,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
682,Neotoma,6028,4835,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.083333,-110.666667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Grasshopper Pueblo [P:14:1],N/A,N/A,675,550,612.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
683,Neotoma,6065,4865,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.0637,-118.356825,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Rancho La Brea,N/A,N/A,32000,26000,29000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
684,Neotoma,6081,4880,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.25,-118.75,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,CA-Ven-294,N/A,N/A,2350,550,1450,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
685,Neotoma,6084,4883,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.75,-115.616667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Newark Cave [26WP107],N/A,N/A,2035,840,1437.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
687,Neotoma,6087,4885,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.366667,-115.5,N/A,N/A,NORTH_AMERICA,US,N/A,N/A,Antelope Cave [SBC1.10.10],N/A,N/A,20000,10000,15000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
689,Neotoma,6105,4903,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35,-119.366667,N/A,N/A,NORTH_AMERICA,US,California,Kern,Maricopa Brea,N/A,N/A,40000,10000,25000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
690,Neotoma,6106,4904,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.316667,-119.616667,N/A,N/A,NORTH_AMERICA,US,California,Kern,McKittrick [UCMP 1370],N/A,N/A,40000,10000,25000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
691,Neotoma,6125,4923,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.583333,-117.866667,N/A,N/A,NORTH_AMERICA,US,California,Orange,Newport Bay Mesa [LACM 1066],N/A,N/A,130000,120000,125000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
699,Neotoma,6167,4963,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48,-119,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Chief Joseph Dam Site 45DO214,N/A,N/A,2000,100,1050,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
703,Neotoma,6190,4984,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.75,-112.866667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Median Village [42In124],N/A,N/A,1100,500,800,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
704,Neotoma,6195,4989,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.5,-112.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Bear River No. 2,N/A,N/A,1500,950,1225,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
705,Neotoma,6198,4992,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.366667,-109.75,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Caldwell Village [42Un95],N/A,N/A,950,750,850,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
707,Neotoma,6211,5002,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.75,-107.616667,N/A,N/A,NORTH_AMERICA,US,New Mexico,San Juan,Navajo Reservoir Site LA 3427,N/A,N/A,1100,1050,1075,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
708,Neotoma,6242,5008,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.866667,-107.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Bancos Village [LA 4380],N/A,N/A,1100,1000,1050,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
711,Neotoma,6284,5021,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.75,-111.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Heltagito Rockshelter [NA 6380],N/A,N/A,35000,1,17500.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
713,Neotoma,6289,5022,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.25,-112.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Injun Creek,N/A,N/A,950,350,650,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
718,Neotoma,6307,5030,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.116667,-104.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Middle Pecos Valley Site P24,N/A,N/A,800,650,725,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
721,Neotoma,6327,5043,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.366667,-112.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Red Lake Wash Site NA 5137,N/A,N/A,1350,850,1100,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
725,Neotoma,6333,5049,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.866667,-112,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Grand Canyon Airport Site NA 5145,N/A,N/A,1350,850,1100,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
726,Neotoma,6336,5052,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.083333,-112.916667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Bison Rockshelter [10CL10],N/A,N/A,6925,100,3512.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
727,Neotoma,6337,5053,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.083333,-112.916667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Veratic Rockshelter [10CL3],N/A,N/A,12000,100,6050,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
728,Neotoma,6342,5058,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.866667,-116.25,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Weis Rockshelter [10IH66],N/A,N/A,6700,1,3350.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
729,Neotoma,6343,5059,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39,-110.75,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Clyde's Cavern [42EM177],N/A,N/A,1490,500,995,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
730,Neotoma,6346,5062,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.616667,-114.25,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Meacham,N/A,N/A,1250,750,1000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
731,Neotoma,6349,5065,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.25,-118.866667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Strawberry Island [45FR5],N/A,N/A,4000,100,2050,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
732,Neotoma,6351,5067,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.866667,-119.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Blasingame [FRE 1671],N/A,N/A,3500,100,1800,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
733,Neotoma,6355,5072,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.75,-117,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Robinette Rockshelter [Robinette Cave] [35BA3],N/A,N/A,4000,200,2100,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
734,Neotoma,6358,5075,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40,-111.75,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Spotten Cave [42UT104],N/A,N/A,10000,1,5000.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
735,Neotoma,6359,5076,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.116667,-111.616667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Hinckley Mound 2 [42UT111],N/A,N/A,1500,500,1000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
736,Neotoma,6362,5079,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.116667,-111.616667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Seamons Mound [42UT271],N/A,N/A,1500,500,1000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
737,Neotoma,6364,5081,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.366667,-116.75,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Spaulding [10NP108],N/A,N/A,950,450,700,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
738,Neotoma,6365,5082,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.75,-112.866667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Evans Mound,N/A,N/A,950,750,850,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
739,Neotoma,6565,5261,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.75,-112.866667,N/A,N/A,NORTH_AMERICA,US,Idaho,Power,American Falls,N/A,N/A,270000,43000,156500,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
740,Neotoma,6567,5263,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,-122.25,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Border Village [35KL16],N/A,N/A,2000,100,1050,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
743,Neotoma,6571,5264,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,-122.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Klamath Shoal Midden [Salt Cave Locality Site 7] [35KL21],N/A,N/A,6000,100,3050,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
744,Neotoma,6572,5265,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,-122.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Big Boulder Village [Salt Cave Locality Site 4] [35KL18],N/A,N/A,2000,100,1050,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
747,Neotoma,6578,5268,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33,-105.866667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Fresnal Shelter,N/A,N/A,3615,1950,2782.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
748,Neotoma,6760,5448,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.3,-104.666667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Henderson [LA-1549],N/A,N/A,1080,460,770,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
749,Neotoma,6761,5449,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.75,-105.866667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Tesuque By-Pass [LA-3294],N/A,N/A,750,650,700,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
750,Neotoma,7080,5752,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.75,-106.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Pickup Pueblo,N/A,N/A,670,670,670,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
751,Neotoma,7083,5755,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.416667,-101.069444,N/A,N/A,NORTH_AMERICA,US,Texas,Briscoe,Lake Theo,N/A,N/A,10900,10500,10700,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
752,Neotoma,7099,5771,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.616667,-106.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Rattlensnake Pass [48CR4520],N/A,N/A,9950,9770,9860,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
753,Neotoma,7100,5772,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.75,-96,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Hanging Valley [13HR28],N/A,N/A,1760,1250,1505,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
754,Neotoma,7102,5774,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,-109.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Eden-Farson [48SW304],N/A,N/A,230,230,230,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
755,Neotoma,7103,5775,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.2825,-95.878889,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Williamson [14CF330],N/A,N/A,3600,3500,3550,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
756,Neotoma,7122,5794,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.866667,-110.616667,N/A,N/A,NORTH_AMERICA,US,Wyoming,N/A,48TE1107,N/A,N/A,500,1,250.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
757,Neotoma,7138,5810,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.866667,-94.616667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Roth [14BO319],N/A,N/A,1230,1100,1165,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
758,Neotoma,7261,5926,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.866667,-96.866667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Milbourn [14BU25],N/A,N/A,4435,4435,4435,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
759,Neotoma,7461,6106,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.088889,-93.35,N/A,N/A,NORTH_AMERICA,US,Missouri,Benton,Rodgers Shelter [23BE125],N/A,N/A,8100,2500,5300,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
760,Neotoma,7681,6326,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.5,-112.25,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Tooele,N/A,N/A,1130,690,910,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
761,Neotoma,7682,6327,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.366667,-112.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Marysvale,N/A,N/A,1500,650,1075,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
762,Neotoma,7683,6328,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.25,-111.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Ephraim [Witch's Knoll],N/A,N/A,1130,690,910,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
763,Neotoma,7755,6400,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.616667,-119.616667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,CA-FRE-64 [FRE-64],N/A,N/A,350,100,225,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
764,Neotoma,7766,6412,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.866667,-119.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Techumtas Island [Sweitzer's Island] [35UM17],N/A,N/A,4000,1,2000.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
765,Neotoma,7775,6421,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.366667,-120.25,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Avey's Orchard [45DO176],N/A,N/A,1100,850,975,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
766,Neotoma,7787,6434,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.25,-119,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Miller [45FR5],N/A,N/A,4000,350,2175,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
767,Neotoma,7795,6442,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39,-116.866667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Triple T Shelter [NY345],N/A,N/A,3500,1,1750.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
768,Neotoma,7799,6446,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.427778,-119.877778,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Glen Annie Canyon [SBA 142],N/A,N/A,7270,6380,6825,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
769,Neotoma,7804,6451,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.75,-119.75,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Fre-1154,N/A,N/A,350,150,250,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
772,Neotoma,15054,10045,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.584147,-118.236489,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Crooked Forks,N/A,N/A,1191,215,703,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
773,Neotoma,15162,10087,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.584147,-118.236489,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Short Stop,N/A,N/A,3141,1191,2166,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
774,Neotoma,15164,10089,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.584147,-118.236489,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Midway,N/A,N/A,1191,215,703,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
